Rank,Distance,Name,Nationality,Birth,Unknown,City,Date
685,80.83,Tibor Gécsek,HUN,22.09.64,1,Budapest,03.09.1999
685,80.83,Karsten Kobs,GER,16.09.71,2,Budapest,03.09.1999
685,80.83,Ilya Konovalov,RUS,04.03.71,1,Moskva,14.07.2003
685,80.83,Karsten Kobs,GER,16.09.71,1,Nikíti,01.08.2003
685,80.83,Igor Astapkovich,BLR,04.01.63,2,Stayki,08.08.2003
691,80.82,Igor Astapkovich,BLR,04.01.63,1,Sochi,17.02.1996
691,80.82,Balázs Kiss,HUN,21.03.72,1,Veszprém,21.06.1997
691,80.82,Heinz Weis,GER,14.07.63,1,Königs Wusterhausen,30.08.1998
691,80.82,Adrián Annus,HUN,28.06.73,1,Réthymno,07.07.2002
691,80.82,Karsten Kobs,GER,16.09.71,1,Cercy-la-Tour,18.06.2006
691,80.82,Krisztián Pars,HUN,18.02.82,1,Halle,23.05.2009
691,80.82,Pawel Fajdek,POL,04.06.89,1,Madrid,14.07.2017
691,80.82,Pawel Fajdek,POL,04.06.89,1,Tomblaine,22.06.2019
691,80.82,Bence Halász,HUN,04.08.97,3,Budapest,20.08.2023
700,80.81,Adrián Annus,HUN,28.06.73,3,Veszprém,14.08.1999
700,80.81,Aleksey Zagornyi,RUS,31.05.78,1,Adler,19.02.2005
700,80.81,Primoz Kozmus,SLO,30.09.79,1,Celje,09.06.2008
703,80.80,Karl-Hans Riehm,FRG,31.05.51,1,Rhede,30.07.1980
703,80.80,Jüri Tamm,EST,05.02.57,3,Tallinn,22.06.1986
703,80.80,Andrey Skvaruk,UKR,09.03.67,1,Kyiv,03.05.1993
703,80.80,Lance Deal,USA,21.08.61,1,Eugene,15.05.1993
703,80.80,Aleksey Zagornyi,RUS,31.05.78,2,Bryansk,03.07.2001
703,80.80,Karsten Kobs,GER,16.09.71,1c2,Dortmund,17.05.2002
703,80.80,Ilya Konovalov,RUS,04.03.71,1,Sankt Peterburg,15.05.2003
703,80.80,Sergey Kirmasov,RUS,25.03.70,1,Bryansk,30.05.2008
711,80.79,Igor Astapkovich,BLR,04.01.63,1,Roma,12.07.2002
711,80.79,Pawel Fajdek,POL,04.06.89,1,Cetniewo,26.07.2014
713,80.78,Karl-Hans Riehm,FRG,31.05.51,1,Roma,05.08.1980
713,80.78,Yuriy Syedikh,RUS,11.06.55,1,Malmö,10.08.1989
713,80.78,Donatas Plunge,LTU,11.11.60,1,Volgograd,22.09.1989
713,80.78,Yuriy Syedikh,RUS,11.06.55,2,Nice,10.07.1990
713,80.78,Igor Astapkovich,BLR,04.01.63,1,Adler,24.02.1991
713,80.78,Yuriy Syedikh,RUS,11.06.55,4,Moskva,23.06.1992
713,80.78,Sergey Litvinov,RUS,23.01.58,1,Roma,27.06.1993
713,80.78,Aleksandr Krasko,BLR,18.09.72,1,Minsk,22.07.1994
713,80.78,Balázs Kiss,HUN,21.03.72,1,Yokohama,16.09.2002
713,80.78,Ivan Tikhon,BLR,24.07.76,q,Athínai,20.08.2004
713,80.78,Krisztián Pars,HUN,18.02.82,1,Dubnica nad Váhom29.08.2006
713,80.78,Krisztián Pars,HUN,18.02.82,2,Rieti,06.09.2014
713,80.78,Mykhaylo Kokhan,UKR,22.01.01,1,Székesfehérvár,05.07.2021
726,80.77,Wojciech Nowicki,POL,22.02.89,1,Turku,08.06.2021
727,80.76,Igor Nikulin,RUS,14.08.60,1,Tbilisi,17.05.1987
727,80.76,Ralf Haber,GER,18.08.62,3,Roma,01.09.1987
727,80.76,Jüri Tamm,EST,05.02.57,2,Nice,10.07.1988
727,80.76,Sergey Litvinov,RUS,23.01.58,3,Nice,10.07.1990
727,80.76,Vasiliy Sidorenko,RUS,01.05.61,3,Athínai,03.08.1997
727,80.76,Libor Charfreitag,SVK,11.09.77,2,Szombathely,10.08.2003
727,80.76,Vadim Devyatovskiy,BLR,20.03.77,2,Göteborg,12.08.2006
734,80.75,Andrey Skvaruk,UKR,09.03.67,1,Belaya Tserkov,25.07.1999
734,80.75,Krisztián Pars,HUN,18.02.82,1,Ostrava,26.06.2013
734,80.75,Pawel Fajdek,POL,04.06.89,1,Ostrava,25.05.2015
734,80.75,Wojciech Nowicki,POL,22.02.89,1,Karpacz,27.08.2022
738,80.74,Christoph Sahner,GER,23.09.63,1,Heidenheim,23.05.1987
738,80.74,Andrey Abduvaliyev,UZB,30.06.66,2,Saint-Denis,19.07.1991
738,80.74,Krisztián Pars,HUN,18.02.82,2,Celje,18.06.2008
741,80.73,Vladislav Piskunov,UKR,07.06.78,6,Szombathely,14.07.2002
741,80.73,Valeriy Sviatokha,BLR,20.07.81,2,Grodno,09.07.2008
741,80.73,Krisztián Pars,HUN,18.02.82,1,Budapest,10.07.2013
741,80.73,Pawel Fajdek,POL,04.06.89,2,Székesfehérvár,08.07.2014
745,80.72,Yuriy Tarasyuk,BLR,11.04.57,1,Stayki,09.08.1982
745,80.72,Tibor Gécsek,HUN,22.09.64,1,Nyíregyháza,02.06.1991
745,80.72,Lance Deal,USA,21.08.61,1,Eugene,06.06.1992
745,80.72,Igor Astapkovich,BLR,04.01.63,1,Linz,04.07.1994
745,80.72,Andrey Abduvaliyev,UZB,30.06.66,1,Tallinn,29.07.1994
745,80.72,Aleksandr Krikun,UKR,01.03.68,1,Donetsk,13.06.2002
745,80.72,Yuriy Shayunou,BLR,22.10.87,1,Minsk,06.06.2009
752,80.71,Gilles Dupray,FRA,02.01.70,1,Clermont-Ferrand 21.05.1998
752,80.71,Szymon Ziólkowski,POL,01.07.76,2,Brisbane,07.09.2001
752,80.71,Koji Murofushi,JPN,08.10.74,5,Beijing,17.08.2008
752,80.71,Krisztián Pars,HUN,18.02.82,1,Ostrava,16.06.2009
752,80.71,Kiril Ikonnikov,RUS,05.03.84,1,Cheboksary,05.07.2012
752,80.71,Dilshod Nazarov,TJK,06.05.82,1,Halle,25.05.2013
752,80.71,Pawel Fajdek,POL,04.06.89,1,Turku,25.06.2015
752,80.71,Pawel Fajdek,POL,04.06.89,1,Minsk,09.09.2019
760,80.70,Vasiliy Sidorenko,RUS,01.05.61,1,Tiraspol,10.08.1986
760,80.70,Ralf Haber,GER,18.08.62,1,Düsseldorf,20.06.1988
760,80.70,Ivan Tanev,BUL,01.05.57,1,Sofia,20.08.1988
760,80.70,Igor Astapkovich,BLR,04.01.63,1,Grodno,27.05.1992
760,80.70,Igor Nikulin,RUS,14.08.60,2,Lausanne,08.07.1992
760,80.70,Andrey Abduvaliyev,UZB,30.06.66,1,Torino,24.06.1998
760,80.70,Andrey Skvaruk,UKR,09.03.67,2,Kyiv,05.08.2000
760,80.70,Koji Murofushi,JPN,08.10.74,2,Torino,07.06.2002
760,80.70,Adrián Annus,HUN,28.06.73,1,Thessaloníki,19.07.2004
760,80.70,Szymon Ziólkowski,POL,01.07.76,4,Bydgoszcz,10.06.2007
760,80.70,Valeriy Sviatokha,BLR,20.07.81,2,Stayki,29.06.2008
760,80.70,Pawel Fajdek,POL,04.06.89,1,Halle,26.05.2018
760,80.70,Rudy Winkler,USA,06.12.94,1,Wallkill,26.07.2020
773,80.69,Igor Astapkovich,BLR,04.01.63,1,Stayki,29.06.2002
773,80.69,Krisztián Pars,HUN,18.02.82,2,Cetniewo,26.07.2014
775,80.68,Viktor Litvinyenko,UKR,22.12.57,2,Kyiv,23.08.1984
775,80.68,Matthias Moder,GDR,17.06.63,2,Dresden,03.08.1985
775,80.68,Igor Astapkovich,BLR,04.01.63,1,Minsk,01.06.1986
775,80.68,Heinz Weis,GER,14.07.63,1,Rhede,03.08.1990
775,80.68,Tibor Gécsek,HUN,22.09.64,1,Budapest,13.06.1992
775,80.68,Igor Nikulin,RUS,14.08.60,2,Berlin,21.08.1992
775,80.68,Sergey Alay,BLR,11.06.65,1,Tallinn,13.07.1993
775,80.68,Vitaliy Alisevich,BLR,15.06.67,2,Minsk,22.07.1994
775,80.68,Vadim Khersontsev,RUS,08.07.74,1,Sankt Peterburg,11.05.1996
775,80.68,Andrey Abduvaliyev,UZB,30.06.66,1,Bishkek,06.10.1999
775,80.68,David Chaussinand,FRA,19.04.73,1,Réduit,21.04.2002
775,80.68,Markus Esser,GER,03.02.80,1,Leverkusen,10.08.2007
787,80.67,Peter Botfa,HUN,30.06.79,1,Zalaegerszeg,14.06.2003
787,80.67,Szymon Ziólkowski,POL,01.07.76,1,Bydgoszcz,23.07.2006
787,80.67,Krisztián Pars,HUN,18.02.82,2,Kawasaki,23.09.2008
787,80.67,Pavel Krivitskiy,BLR,17.04.84,1,Miknsk,11.08.2011
791,80.66,Karl-Hans Riehm,FRG,31.05.51,1,Zürich,13.08.1980
791,80.66,Sergey Litvinov,RUS,23.01.58,3,Adler,24.05.1986
791,80.66,Andrey Abduvaliyev,UZB,30.06.66,3,Lausanne,08.07.1992
791,80.66,Vasiliy Sidorenko,RUS,01.05.61,2,Moskva,05.06.1994
791,80.66,Balázs Kiss,HUN,21.03.72,1,Walnut,20.04.1997
791,80.66,Pawel Fajdek,POL,04.06.89,1,Ostrava,19.05.2016
797,80.65,Heinz Weis,GER,14.07.63,1,Dortmund,07.06.1998
798,80.64,Yuriy Syedikh,RUS,11.06.55,1,Leselidze,16.05.1980
798,80.64,Sergey Litvinov,RUS,23.01.58,2,Moskva,31.07.1980
798,80.64,Igor Nikulin,RUS,14.08.60,2,Sochi,10.06.1984
798,80.64,Emanuil Dyulgherov,BUL,07.02.55,1,Sofia,25.08.1984
798,80.64,Benjaminas Viluckis,LTU,20.03.61,1,Baku,22.09.1985
798,80.64,Klaus Ploghaus,FRG,31.01.56,1,Leverkusen,31.05.1986
798,80.64,Igor Astapkovich,BLR,04.01.63,5,Leningrad,12.06.1988
798,80.64,Sergey Alay,BLR,11.06.65,1,Grodno,18.06.1988
798,80.64,Vasiliy Sidorenko,RUS,01.05.61,1,Leverkusen,06.06.1992
798,80.64,Igor Astapkovich,BLR,04.01.63,1,Minsk,16.05.1997
798,80.64,Karsten Kobs,GER,16.09.71,1B,Dortmund,31.07.1999
798,80.64,Szymon Ziólkowski,POL,01.07.76,1,Warszawa,17.06.2001
810,80.63,Balázs Kiss,HUN,21.03.72,2,Dortmund,07.06.1998
810,80.63,Karsten Kobs,GER,16.09.71,1,Firenze,21.06.2003
810,80.63,Olli-Pekka Karjalainen FIN,07.03.80,1,Töysä,09.06.2004
810,80.63,Chris Harmse,RSA,31.05.73,1,Durban,15.04.2005
810,80.63,Krisztián Pars,HUN,18.02.82,1,Szekszárd,07.08.2011
810,80.63,Wojciech Nowicki,POL,22.02.89,1,Chorzów,08.06.2018
816,80.62,Juha Tiainen,FIN,05.12.55,1,Palo Alto,07.04.1984
816,80.62,Igor Nikulin,RUS,14.08.60,1,Sochi,26.05.1984
816,80.62,Jüri Tamm,EST,05.02.57,4,Adler,24.05.1986
816,80.62,Ralf Haber,GER,18.08.62,1,Dresden,03.06.1987
816,80.62,Viktor Apostolov,BUL,23.06.62,1,Sofia,28.07.1990
816,80.62,Aleksandr Seleznyov,RUS,25.01.63,1,Krasnodar,21.06.1991
816,80.62,Igor Nikulin,RUS,14.08.60,3,Kyiv,11.07.1991
816,80.62,Igor Astapkovich,BLR,04.01.63,2,Königs Wusterhausen,28.08.1994
816,80.62,Tibor Gécsek,HUN,22.09.64,2,Sevilla,30.05.1998
816,80.62,Dilshod Nazarov,TJK,06.05.82,2,Ostrava,16.06.2014
826,80.61,Koji Murofushi,JPN,08.10.74,1,Kanazawa,30.09.2001
826,80.61,Igor Astapkovich,BLR,04.01.63,2,Sevilla,08.06.2002
826,80.61,Libor Charfreitag,SVK,11.09.77,q,Osaka,25.08.2007
826,80.61,Krisztián Pars,HUN,18.02.82,1,Debrecen,30.08.2014
830,80.60,Juha Tiainen,FIN,05.12.55,1,San José,14.04.1984
830,80.60,Sergey Litvinov,RUS,23.01.58,2,Torino,02.06.1984
830,80.60,Ralf Haber,GER,18.08.62,2,Dresden,16.08.1986
830,80.60,Sergey Litvinov,RUS,23.01.58,1,Leselidze,13.05.1987
830,80.60,Imre Szitás,HUN,04.09.61,1,Szombathely,11.07.1988
830,80.60,Tibor Gécsek,HUN,22.09.64,1,Tapolca,04.09.1988
830,80.60,Heinz Weis,GER,14.07.63,1,Kiel,17.06.1989
830,80.60,Heinz Weis,GER,14.07.63,1,Berlin,04.07.1990
830,80.60,Balázs Kiss,HUN,21.03.72,2,Königs Wusterhausen,27.08.1996
830,80.60,Adrián Annus,HUN,28.06.73,1,Tatabánya,02.06.1999
830,80.60,Aleksandr Krikun,UKR,01.03.68,3,Koncha-Zaspa,27.04.2002
841,80.59,Libor Charfreitag,SVK,11.09.77,1cA,Walnut,17.04.2010
841,80.59,Krisztián Pars,HUN,18.02.82,1,London,05.08.2012
843,80.58,Sergey Litvinov,RUS,23.01.58,2,Roma,31.08.1984
843,80.58,Jüri Tamm,EST,05.02.57,1,Suure-Jaani,07.07.1985
843,80.58,Christoph Sahner,GER,23.09.63,4,Roma,01.09.1987
843,80.58,Heinz Weis,GER,14.07.63,1,Trier,31.07.1998
843,80.58,Andrey Skvaruk,UKR,09.03.67,1,Warszawa,15.06.2003
843,80.58,Yevgeniy Vinogradov,UKR,30.04.84,1,Kyiv,02.07.2008
843,80.58,Wojciech Nowicki,POL,22.02.89,2,Székesfehérvár,05.07.2021
850,80.57,Karsten Kobs,GER,16.09.71,1,Rüdlingen,28.08.1999
850,80.57,Adrián Annus,HUN,28.06.73,1,Réthymno,23.06.2004
850,80.57,Markus Esser,GER,03.02.80,1,Rhede,29.07.2007
850,80.57,Pawel Fajdek,POL,04.06.89,1,Cetniewo,08.07.2018
854,80.56,Klaus Ploghaus,FRG,31.01.56,1,Obersuhl,27.06.1981
854,80.56,Igor Astapkovich,BLR,04.01.63,1,Duisburg,25.08.1989
854,80.56,Jüri Tamm,EST,05.02.57,1,Odessa,26.07.1991
854,80.56,Tibor Gécsek,HUN,22.09.64,1,Szombathely,14.08.1991
854,80.56,Balázs Kiss,HUN,21.03.72,1,Budapest,20.08.1995
854,80.56,Igor Astapkovich,BLR,04.01.63,2,Bruxelles,22.08.1996
854,80.56,Koji Murofushi,JPN,08.10.74,1,Sapporo,16.07.2000
854,80.56,Olli-Pekka Karjalainen FIN,07.03.80,3,Torino,07.06.2002
854,80.56,Pawel Fajdek,POL,04.06.89,1,Oslo,16.06.2022
863,80.55,Olli-Pekka Karjalainen FIN,07.03.80,1,Tampere,19.07.2000
863,80.55,Quentin Bigot,FRA,01.12.92,2,Chorzów,05.06.2022
865,80.54,Yuriy Syedikh,RUS,11.06.55,2,Roma,05.08.1980
865,80.54,Viktor Apostolov,BUL,23.06.62,2,Sofia,03.09.1988
865,80.54,Plamen Minev,BUL,28.04.65,1,Sofia,02.06.1990
865,80.54,Olli-Pekka Karjalainen FIN,07.03.80,2,Amsterdam,15.07.2001
865,80.54,Andrei Varantsou,BLR,24.07.75,1,Stayki,23.06.2006
865,80.54,Primoz Kozmus,SLO,30.09.79,1,Praha,13.06.2007
871,80.53,Balázs Kiss,HUN,21.03.72,2,Torino,24.06.1998
871,80.53,Tibor Gécsek,HUN,22.09.64,1,Szombathely,23.07.2000
871,80.53,Aleksey Zagornyi,RUS,31.05.78,2,Cheboksary,13.07.2002
871,80.53,Krisztián Pars,HUN,18.02.82,1,Lappeenranta,12.07.2009
871,80.53,Pawel Fajdek,POL,04.06.89,1,Szczecin,10.06.2017
876,80.52,Sergey Litvinov,RUS,23.01.58,1,Athínai,29.05.1983
876,80.52,Sergey Alay,BLR,11.06.65,1,Gomel,05.07.1987
876,80.52,Vasiliy Sidorenko,RUS,01.05.61,1,Adler,24.04.1988
876,80.52,Heinz Weis,GER,14.07.63,1,Forbach,17.09.1989
876,80.52,Aleksandr Seleznyov,RUS,25.01.63,1,Limerick,14.06.1991
876,80.52,Sergey Alay,BLR,11.06.65,3,Sevilla,05.06.1993
876,80.52,Igor Astapkovich,BLR,04.01.63,2,Szombathely,27.05.1994
876,80.52,Vadim Khersontsev,RUS,08.07.74,2,Rostov-na-Donu,16.06.1996
876,80.52,Andrey Skvaruk,UKR,09.03.67,1,Budapest,20.06.1996
876,80.52,Adrián Annus,HUN,28.06.73,1,Budapest,09.05.1998
876,80.52,Karsten Kobs,GER,16.09.71,2,Nikíti,17.07.2002
876,80.52,Krisztián Pars,HUN,18.02.82,1,Warszawa,02.05.2009
888,80.51,Ilya Konovalov,RUS,04.03.71,1,Tula,31.07.1999
888,80.51,Andrey Abduvaliyev,UZB,30.06.66,1,Tashkent,17.08.2000
888,80.51,Patric Suter,SUI,17.05.77,1,Löffingen,17.09.2003
888,80.51,Andrei Varantsou,BLR,24.07.75,2,Brest,08.07.2006
888,80.51,Dilshod Nazarov,TJK,06.05.82,1,Madrid,19.07.2014
893,80.50,Detlef Gerstenberg,GDR,05.03.57,1,Berlin,15.07.1984
893,80.50,Igor Astapkovich,BLR,04.01.63,1,Budapest,12.08.1988
893,80.50,Viktor Apostolov,BUL,23.06.62,1,Sofia,27.08.1988
893,80.50,Aleksandr Seleznyov,RUS,25.01.63,1,Smolyensk,16.08.1990
893,80.50,Igor Astapkovich,BLR,04.01.63,3,Zürich,17.08.1994
893,80.50,Heinz Weis,GER,14.07.63,1,Löffingen,24.07.1997
893,80.50,Tibor Gécsek,HUN,22.09.64,1,Villeneuve d'Ascq13.06.1999
893,80.50,Tibor Gécsek,HUN,22.09.64,2,Clermont-Ferrand 30.06.2000
893,80.50,Nicola Vizzoni,ITA,04.11.73,1,Formia,14.07.2001
893,80.50,Christophe Épalle,FRA,23.01.69,1,Conflans-Ste. Honorine,07.04.2002
893,80.50,Krisztián Pars,HUN,18.02.82,q,Athínai,20.08.2004
893,80.50,Pawel Fajdek,POL,04.06.89,1,Ad-Dawhah,02.10.2019
905,80.49,Tibor Gécsek,HUN,22.09.64,1,Szombathely,15.07.2001
905,80.49,Szymon Ziólkowski,POL,01.07.76,1,Lappeenranta,13.07.2006
905,80.49,Pawel Fajdek,POL,04.06.89,1,Székesfehérvár,09.07.2019
908,80.48,Boris Zaychuk,RUS,28.08.47,2,Sochi,24.05.1980
908,80.48,Igor Astapkovich,BLR,04.01.63,1,Minsk,31.08.1986
908,80.48,Vadim Khersontsev,RUS,08.07.74,1,Sankt Peterburg,03.07.1996
908,80.48,Christophe Épalle,FRA,23.01.69,1,Castres,24.07.2002
912,80.47,Vladislav Piskunov,UKR,07.06.78,2,Roma,12.07.2002
912,80.47,Wojciech Nowicki,POL,22.02.89,1,Bialystok,22.07.2017
914,80.46,Jüri Tamm,EST,05.02.57,2,Leselidze,16.05.1980
914,80.46,Yuriy Syedikh,RUS,11.06.55,1,Indianapolis,03.07.1982
914,80.46,Jüri Tamm,EST,05.02.57,3,Leningrad,08.06.1986
914,80.46,Ivan Tanev,BUL,01.05.57,1,Sofia,11.06.1988
914,80.46,Sergey Litvinov,RUS,23.01.58,1,Rostov-na-Donu,12.05.1990
914,80.46,Heinz Weis,GER,14.07.63,2,Leverkusen,06.06.1992
914,80.46,Balázs Kiss,HUN,21.03.72,q,Athínai,02.08.1997
914,80.46,Balázs Kiss,HUN,21.03.72,3,Nikíti,17.07.2002
914,80.46,Koji Murofushi,JPN,08.10.74,6,Osaka,27.08.2007
914,80.46,Krisztián Pars,HUN,18.02.82,1,Cetniewo,29.06.2013
924,80.45,Aleksandros Papadimitrou,GRE,18.06.73,1,Athínai,09.07.2000
924,80.45,Koji Murofushi,JPN,08.10.74,1,Colombo,10.08.2002
924,80.45,Markus Esser,GER,03.02.80,1,Schönebeck,10.06.2007
924,80.45,Vadim Devyatovskiy,BLR,20.03.77,5,Bydgoszcz,10.06.2007
924,80.45,Libor Charfreitag,SVK,11.09.77,1,Vila Real de Santo Antóni25.05.2008
924,80.45,Krisztián Pars,HUN,18.02.82,1,Velenje,04.06.2013
930,80.44,Günther Rodehau,GDR,06.07.59,1,Dresden,30.07.1985
930,80.44,Matthias Moder,GDR,17.06.63,1,Berlin,22.09.1985
930,80.44,Ralf Haber,GER,18.08.62,4,Seoul,26.09.1988
930,80.44,Yuriy Syedikh,RUS,11.06.55,1,Köln,19.08.1990
930,80.44,Heinz Weis,GER,14.07.63,3,Tokyo,25.08.1991
930,80.44,Tibor Gécsek,HUN,22.09.64,1,La Habana,26.09.1992
930,80.44,Heinz Weis,GER,14.07.63,1,Dortmund,03.09.1997
930,80.44,Christophe Épalle,FRA,23.01.69,1,Saint-Étienne,10.05.2003
930,80.44,Koji Murofushi,JPN,08.10.74,1,Yokohama,23.09.2003
930,80.44,Artyom Rubanko,UKR,21.03.74,2,Kyiv,29.05.2004
930,80.44,Pavel Krivitskiy,BLR,17.04.84,1,Brest,22.05.2010
941,80.43,Igor Astapkovich,BLR,04.01.63,3,Sevilla,30.05.1998
941,80.43,Krisztián Pars,HUN,18.02.82,1,Warszawa,25.08.2013
943,80.42,Yuriy Syedikh,RUS,11.06.55,1,Kharkov,29.05.1983
943,80.42,Juha Tiainen,FIN,05.12.55,2,Berlin,20.07.1984
943,80.42,Benjaminas Viluckis,LTU,20.03.61,1,Klaipeda,13.09.1985
943,80.42,Igor Nikulin,RUS,14.08.60,2,Budapest,12.08.1988
943,80.42,Yuriy Syedikh,RUS,11.06.55,1,Helsinki,27.06.1990
943,80.42,Yuriy Syedikh,RUS,11.06.55,3,Sevilla,06.06.1992
943,80.42,Tibor Gécsek,HUN,22.09.64,1,Saint-Denis,03.07.1999
943,80.42,Pawel Fajdek,POL,04.06.89,Tomblaine,22.06.2019
951,80.41,Nicolas Figère,FRA,19.05.79,1,Saint-Étienne,13.07.2002
951,80.41,Libor Charfreitag,SVK,11.09.77,1,El Paso,12.04.2003
951,80.41,András Haklits,CRO,23.09.77,1,Marietta,29.05.2005
951,80.41,Krisztián Pars,HUN,18.02.82,3,Stuttgart,10.09.2006
951,80.41,Krisztián Pars,HUN,18.02.82,1,Budapest,27.07.2013
956,80.40,Jüri Tamm,EST,05.02.57,1,Moskva,05.07.1980
956,80.40,Vasiliy Sidorenko,RUS,01.05.61,1,Volgograd,13.07.1985
956,80.40,Sergey Litvinov,RUS,23.01.58,1,Moskva,06.06.1987
956,80.40,Igor Astapkovich,BLR,04.01.63,2,Helsinki,11.08.1994
956,80.40,Zsolt Németh,HUN,09.11.71,1,Palma de Mallorca10.07.1999
956,80.40,Aleksandr Krikun,UKR,01.03.68,2,Kyiv,25.05.2002
956,80.40,Krisztián Pars,HUN,18.02.82,1,Praha,08.06.2009
963,80.39,Balázs Kiss,HUN,21.03.72,1,Formia,12.07.1998
963,80.39,Szymon Ziólkowski,POL,01.07.76,1,Kraków,06.08.2000
963,80.39,Vladislav Piskunov,UKR,07.06.78,2,München,07.08.2002
963,80.39,Pawel Fajdek,POL,04.06.89,1cA,Halle,21.05.2016
963,80.39,Mykhaylo Kokhan,UKR,22.01.01,4,Tokyo,04.08.2021
968,80.38,Frantisek Vrbka,CZE,23.07.58,2,Moskva,18.08.1985
968,80.38,Christoph Sahner,GER,23.09.63,1,Rhede,02.07.1986
968,80.38,Andrey Abduvaliyev,UZB,30.06.66,1,Chelyabinsk,16.07.1988
968,80.38,Heinz Weis,GER,14.07.63,2,Barcelona,25.07.1998
968,80.38,Koji Murofushi,JPN,08.10.74,1,Budapest,22.07.2000
968,80.38,Nicola Vizzoni,ITA,04.11.73,1,Milano,06.06.2001
968,80.38,Aleksandr Krikun,UKR,01.03.68,2,Kyiv,02.07.2001
968,80.38,Tibor Gécsek,HUN,22.09.64,1,Tapolca,18.08.2001
968,80.38,Primoz Kozmus,SLO,30.09.79,1,Thessaloníki,17.06.2006
968,80.38,Krisztián Pars,HUN,18.02.82,1cA,Puerto de la Cruz15.03.2009
978,80.37,Tibor Gécsek,HUN,22.09.64,2,Szombathely,25.04.1998
978,80.37,Tibor Gécsek,HUN,22.09.64,1,Baden-Baden,09.05.1998
978,80.37,Peter Botfa,HUN,30.06.79,1,Budapest,28.02.2004
981,80.36,Günther Rodehau,GDR,06.07.59,1,Jablonec nad Nisou,17.08.1985
981,80.36,Andrey Abduvaliyev,UZB,30.06.66,q,Tokyo,24.08.1991
981,80.36,Aleksandr Krikun,UKR,01.03.68,1,Donetsk,29.05.1993
981,80.36,Balázs Kiss,HUN,21.03.72,1,Veszprém,04.07.2001
981,80.36,Adrián Annus,HUN,28.06.73,2,Saint-Denis,25.08.2003
981,80.36,Adrián Annus,HUN,28.06.73,1,Bydgoszcz,05.06.2004
981,80.36,Ilya Konovalov,RUS,04.03.71,1,Tula,24.06.2004
981,80.36,Libor Charfreitag,SVK,11.09.77,1,Walnut,15.04.2007
981,80.36,Esref Apak,TUR,03.01.82,1,Izmir,04.06.2008
981,80.36,Pawel Fajdek,POL,04.06.89,2,Ostrava,24.05.2012
991,80.35,Lance Deal,USA,21.08.61,1,Eugene,25.06.1999
991,80.35,Vadim Devyatovskiy,BLR,20.03.77,2,Stayki,31.07.2004
991,80.35,Aleksandros Papadimitrou,GRE,18.06.73,1,Nikíti,01.08.2004
991,80.35,Libor Charfreitag,SVK,11.09.77,2,Warszawa,17.06.2007
995,80.34,Igor Nikulin,RUS,14.08.60,2,Moskva,21.06.1980
995,80.34,Jüri Tamm,EST,05.02.57,2,Sochi,26.05.1984
995,80.34,Yuriy Syedikh,RUS,11.06.55,2,Cork,07.07.1987
995,80.34,Igor Astapkovich,BLR,04.01.63,1,Adler,25.02.1990
995,80.34,Heinz Weis,GER,14.07.63,1,Bonn,13.06.1998
995,80.34,Artyom Rubanko,UKR,21.03.74,1,Kyiv,22.05.2004
995,80.34,Koji Murofushi,JPN,08.10.74,1,Toyota,27.07.2008
995,80.34,Primoz Kozmus,SLO,30.09.79,1,Maribor,02.08.2009
1003,80.33,Karsten Kobs,GER,16.09.71,1,Dortmund,25.09.1999
1003,80.33,Krisztián Pars,HUN,18.02.82,2,Nikíti,15.07.2006
1003,80.33,Sergey Litvinov,RUS,27.01.86,1,Moskva,23.06.2012
1006,80.32,Karl-Hans Riehm,FRG,31.05.51,1,Heidenheim,06.08.1978
1006,80.32,Benjaminas Viluckis,LTU,20.03.61,3,Adler,23.05.1987
1006,80.32,Vitaliy Alisevich,BLR,15.06.67,1,Minsk,15.05.1988
1006,80.32,Yuriy Syedikh,RUS,11.06.55,2,Cork,05.07.1988
1006,80.32,Nikolay Lysenko,RUS,14.07.66,1,Ordzhonikidze,25.09.1988
1006,80.32,Heinz Weis,GER,14.07.63,1,Bad Homburg,10.06.1989
1006,80.32,Heinz Weis,GER,14.07.63,1,Leverkusen,05.07.1989
1006,80.32,Heinz Weis,GER,14.07.63,3,London,10.09.1994
1006,80.32,Andrey Skvaruk,UKR,09.03.67,1,Kyiv,07.06.1996
1006,80.32,Igor Astapkovich,BLR,04.01.63,1,Königs Wusterhausen,23.08.1997
1006,80.32,Koji Murofushi,JPN,08.10.74,2,Ad-Dawhah,05.10.2000
1006,80.32,Markus Esser,GER,03.02.80,1,Fränkisch-Crumbach,04.06.2006
1006,80.32,Pawel Fajdek,POL,04.06.89,1,Bielsko-Biala,16.06.2012
1019,80.31,Esref Apak,TUR,03.01.82,2,Stayki,28.07.2007
1019,80.31,Kibwe Johnson,USA,17.08.81,1,Eugene,23.06.2011
1019,80.31,Wojciech Nowicki,POL,22.02.89,2,Ostrava,27.06.2017
1022,80.30,Matthias Moder,GDR,17.06.63,1,Berlin,20.08.1986
1022,80.30,Ralf Haber,GER,18.08.62,1,Rostock,24.06.1988
1022,80.30,Heinz Weis,GER,14.07.63,1,Lappeenranta,05.07.1988
1022,80.30,Vasiliy Sidorenko,RUS,01.05.61,1,Bryansk,11.07.1988
1022,80.30,Tibor Gécsek,HUN,22.09.64,1,Szombathely,06.10.1990
1022,80.30,Jud Logan,USA,19.07.59,1,Kent,14.07.1992
