Rank,Distance,Name,Nationality,Birth,Unknown,City,Date
218,82.23,Vladislav Piskunov,UKR,07.06.78,2,Koncha-Zaspa,27.04.2002
218,82.23,Igor Astapkovich,BLR,04.01.63,3,Minsk,10.07.2004
221,82.22,Ralf Haber,GER,18.08.62,1,Jena,03.06.1988
221,82.22,Holger Klose,GER,05.12.72,1,Dortmund,02.05.1998
223,82.20,Igor Nikulin,RUS,14.08.60,1,Moskva,11.06.1983
223,82.20,Sergey Litvinov,RUS,23.01.58,1,Cork,07.07.1987
223,82.20,Andrey Abduvaliyev,UZB,30.06.66,2,Seattle,26.07.1990
226,82.18,Igor Nikulin,RUS,14.08.60,3,Kyiv,21.06.1984
226,82.18,Jüri Tamm,EST,05.02.57,q,Odessa,19.08.1988
226,82.18,Yuriy Syedikh,RUS,11.06.55,1,Dreux,19.06.1992
226,82.18,Koji Murofushi,JPN,08.10.74,1,Osaka,08.05.2004
230,82.16,Vitaliy Alisevich,BLR,15.06.67,1,Pärnu,13.07.1988
230,82.16,Heinz Weis,GER,14.07.63,1,Hamburg,13.08.1989
230,82.16,Sergey Litvinov,RUS,23.01.58,1,Moskva,13.06.1993
230,82.16,Andrey Skvaruk,UKR,09.03.67,2,Ad-Dawhah,15.05.2002
234,82.15,Olli-Pekka Karjalainen FIN,07.03.80,1,Lapua,12.06.2004
235,82.14,Yuriy Syedikh,RUS,11.06.55,1,Cork,09.07.1985
235,82.14,Igor Nikulin,RUS,14.08.60,3,Seattle,26.07.1990
235,82.14,Vadim Devyatovskiy,BLR,20.03.77,1,Stayki,25.06.2005
235,82.14,Pawel Fajdek,POL,04.06.89,1,Chorzów,20.06.2021
239,82.13,Balázs Kiss,HUN,21.03.72,1,Nice,16.07.1998
239,82.13,Szymon Ziólkowski,POL,01.07.76,1,Roodepoort,16.03.2001
241,82.12,Jüri Tamm,EST,05.02.57,1,Canberra,05.10.1985
242,82.10,Sergey Litvinov,RUS,23.01.58,2,Leningrad,08.06.1986
242,82.10,Jüri Tamm,EST,05.02.57,1,Leselidze,22.05.1988
242,82.10,Balázs Kiss,HUN,21.03.72,1,Dreux,29.06.1995
242,82.10,Balázs Kiss,HUN,21.03.72,1,Veszprém,08.08.1998
242,82.10,Adrián Annus,HUN,28.06.73,1,Szombathely,07.09.2003
247,82.09,Koji Murofushi,JPN,08.10.74,1,Tottori,06.06.2004
248,82.08,Ivan Tanev,BUL,01.05.57,1,Sofia,03.09.1988
248,82.08,Koji Murofushi,JPN,08.10.74,1,Yokohama,15.09.2001
250,82.07,Pawel Fajdek,POL,04.06.89,1,Cetniewo,01.08.2015
251,82.05,Ivan Tikhon,BLR,24.07.76,1,Stuttgart,23.09.2007
251,82.05,Pawel Fajdek,POL,04.06.89,2,Zürich,16.08.2014
253,82.04,Andrey Abduvaliyev,UZB,30.06.66,2,Kyiv,06.07.1990
254,82.03,Adrián Annus,HUN,28.06.73,1,Szombathely,24.04.2004
255,82.02,Jüri Tamm,EST,05.02.57,1,Berlin,20.07.1984
255,82.02,Jüri Tamm,EST,05.02.57,1,Bryansk,19.07.1987
255,82.02,Vasiliy Sidorenko,RUS,01.05.61,2,Zürich,17.08.1994
255,82.02,Primoz Kozmus,SLO,30.09.79,1,Beijing,17.08.2008
259,82.01,Koji Murofushi,JPN,08.10.74,1,Athínai,16.09.2006
260,82.00,Igor Nikulin,RUS,14.08.60,3,Stuttgart,30.08.1986
260,82.00,Igor Nikulin,RUS,14.08.60,2,Adler,23.05.1987
260,82.00,Andrey Abduvaliyev,UZB,30.06.66,1,Bryansk,12.08.1990
260,82.00,Igor Astapkovich,BLR,04.01.63,1,Minsk,23.05.1991
260,82.00,Sergey Alay,BLR,11.06.65,1,Stayki,12.05.1992
260,82.00,Sergey Litvinov,RUS,23.01.58,1,Moskva,19.06.1993
260,82.00,Wojciech Nowicki,POL,22.02.89,1,München,18.08.2022
267,81.99,Pawel Fajdek,POL,04.06.89,1,Warszawa,13.09.2015
268,81.98,Yuriy Syedikh,RUS,11.06.55,2,Roma,10.09.1986
268,81.98,Andrey Abduvaliyev,UZB,30.06.66,2,Moskva,23.06.1992
268,81.98,Rudy Winkler,USA,06.12.94,1,Eugene,24.04.2021
268,81.98,Pawel Fajdek,POL,04.06.89,1,Eugene,16.07.2022
272,81.97,Igor Astapkovich,BLR,04.01.63,1,Gomel,25.05.2002
272,81.97,Adrián Annus,HUN,28.06.73,1,Nyíregyháza,02.08.2003
272,81.97,Pawel Fajdek,POL,04.06.89,1,Moskva,12.08.2013
275,81.96,Jüri Tamm,EST,05.02.57,2,Erfurt,23.06.1985
275,81.96,Igor Astapkovich,BLR,04.01.63,2,Barcelona,02.08.1992
275,81.96,Krisztián Pars,HUN,18.02.82,1,Lahti,09.07.2008
278,81.95,Adrián Annus,HUN,28.06.73,1,Nitra,24.08.2002
278,81.95,Vadim Devyatovskiy,BLR,20.03.77,1,Brest,08.07.2006
280,81.94,Igor Astapkovich,BLR,04.01.63,1,Poznan,29.06.1989
280,81.94,Balázs Kiss,HUN,21.03.72,1,Tucson,19.05.1995
280,81.94,Aleksey Zagornyi,RUS,31.05.78,1,Adler,24.02.2002
280,81.94,Adrián Annus,HUN,28.06.73,2,Réthymno,06.07.2003
284,81.93,Ilya Konovalov,RUS,04.03.71,1,Rostov-na-Donu,26.06.2000
285,81.92,Yuriy Syedikh,RUS,11.06.55,1,Moskva,26.08.1989
285,81.92,Tibor Gécsek,HUN,22.09.64,1,Szombathely,04.06.2000
285,81.92,Koji Murofushi,JPN,08.10.74,1,Praha,28.06.2004
285,81.92,Wojciech Nowicki,POL,22.02.89,1,Oslo,15.06.2023
289,81.90,Jüri Tamm,EST,05.02.57,1,Leselidze,13.05.1985
289,81.90,Yuriy Syedikh,RUS,11.06.55,2,Lausanne,12.07.1990
291,81.89,Krisztián Pars,HUN,18.02.82,1,Szombathely,23.09.2011
292,81.88,Jud Logan,USA,19.07.59,1,University Park,22.04.1988
293,81.87,Koji Murofushi,JPN,08.10.74,1,Toyota,21.07.2008
293,81.87,Pawel Fajdek,POL,04.06.89,1,Bydgoszcz,25.06.2016
295,81.86,Yuriy Syedikh,RUS,11.06.55,1,Mäntyharju,28.06.1990
295,81.86,Jüri Tamm,EST,05.02.57,1,Kyiv,13.05.1992
297,81.85,Szymon Ziólkowski,POL,01.07.76,q,Edmonton,04.08.2001
297,81.85,Wojciech Nowicki,POL,22.02.89,1,Székesfehérvár,02.07.2018
299,81.84,Igor Nikulin,RUS,14.08.60,1,Torino,29.05.1987
299,81.84,Ralf Haber,GER,18.08.62,1,Potsdam,21.08.1987
301,81.83,Krisztián Pars,HUN,18.02.82,1,Szombathely,07.10.2006
302,81.82,Benjaminas Viluckis,LTU,20.03.61,1,Siauliai,05.07.1987
302,81.82,Yuriy Syedikh,RUS,11.06.55,3,Adler,01.06.1988
302,81.82,Günther Rodehau,GDR,06.07.59,1,Berlin,13.09.1988
302,81.82,Szymon Ziólkowski,POL,01.07.76,2,Yokohama,15.09.2001
306,81.81,Adrián Annus,HUN,28.06.73,1,Banská Bystrica,22.06.2002
306,81.81,Ilya Konovalov,RUS,04.03.71,1,Cheboksary,13.07.2002
306,81.81,Libor Charfreitag,SVK,11.09.77,3,Praha,29.06.2003
309,81.80,Yuriy Syedikh,RUS,11.06.55,1,Moskva,31.07.1980
309,81.80,Yuriy Syedikh,RUS,11.06.55,1,Roma,02.06.1985
309,81.80,Jüri Tamm,EST,05.02.57,3,Leningrad,12.06.1988
309,81.80,Igor Astapkovich,BLR,04.01.63,1,Gorkiy,22.07.1989
309,81.80,Balázs Kiss,HUN,21.03.72,1,Formia,13.07.1997
314,81.79,Sergey Kirmasov,RUS,25.03.70,1,Moskva,02.08.1998
314,81.79,Christophe Épalle,FRA,23.01.69,1,Clermont-Ferrand 30.06.2000
316,81.78,Sergey Litvinov,RUS,23.01.58,q,Roma,31.08.1987
316,81.78,Christoph Sahner,GER,23.09.63,1,Wemmetsweiler,11.09.1988
316,81.78,Igor Astapkovich,BLR,04.01.63,2,Kyiv,11.07.1991
316,81.78,Heinz Weis,GER,14.07.63,1,Athínai,03.08.1997
320,81.77,Koji Murofushi,JPN,08.10.74,1,Helsinki,26.07.2006
320,81.77,Primoz Kozmus,SLO,30.09.79,1,Zagreb,31.08.2009
322,81.76,Balázs Kiss,HUN,21.03.72,1,Nice,10.07.1996
322,81.76,Igor Astapkovich,BLR,04.01.63,1,Stayki,13.07.1996
322,81.76,Tibor Gécsek,HUN,22.09.64,1,Szombathely,17.05.2001
325,81.75,Vasiliy Sidorenko,RUS,01.05.61,1,Tula,24.07.2000
326,81.74,Sergey Litvinov,RUS,23.01.58,1,Tokyo,08.10.1988
326,81.74,Sergey Litvinov,RUS,23.01.58,3,Lausanne,12.07.1990
326,81.74,Balázs Kiss,HUN,21.03.72,1,Veszprém,10.09.1998
326,81.74,Andrey Skvaruk,UKR,09.03.67,1,Kyiv,04.07.2003
326,81.74,Wojciech Nowicki,POL,22.02.89,1,Poznan,02.07.2019
331,81.73,Adrián Annus,HUN,28.06.73,1,Nitra,07.08.1999
331,81.73,Aleksey Zagornyi,RUS,31.05.78,1,Yerino,04.06.2011
333,81.72,Plamen Minev,BUL,28.04.65,1,Sofia,18.08.1990
333,81.72,Andrey Skvaruk,UKR,09.03.67,1,Kyiv,27.05.1994
333,81.72,Andrey Abduvaliyev,UZB,30.06.66,1,London,10.09.1994
336,81.71,Andrey Skvaruk,UKR,09.03.67,1,Athínai,10.06.2002
336,81.71,Pawel Fajdek,POL,04.06.89,3,Bydgoszcz,05.06.2016
338,81.70,Günther Rodehau,GDR,06.07.59,1,Dresden,16.08.1986
338,81.70,Plamen Minev,BUL,28.04.65,1,Sofia,04.06.1988
338,81.70,Yuriy Syedikh,RUS,11.06.55,1,Tokyo,25.08.1991
338,81.70,Aleksandr Seleznyov,RUS,25.01.63,2,Sochi,22.05.1993
338,81.70,Aleksandr Seleznyov,RUS,25.01.63,1,Rostov-na-Donu,17.07.1993
