Year of event,Event dates,Event name,Event distance/length,Event number of finishers,Athlete performance,Athlete club,Athlete country,Athlete year of birth,Athlete gender,Athlete age category,Athlete average speed,Athlete ID
2011,12.11.2011,100 km en Pista Ciutat de Palma - 50km Split (ESP),50km,5,13212.0,Atletisme Inca-Gardenh...,ESP,1967.0,M,M40,13.624,146523
2011,02.04.2011,100 km road race Kisber - 50km Split (HUN),50km,19,13572.0,FutaPét TE,HUN,1969.0,M,M40,13.263,687592
2009,04.04.2009,100 km road race Kisber - 50km Split (HUN),50km,23,12982.0,TFSE,HUN,1986.0,M,MU23,13.865,423452
2013,06.04.2013,100 km road race Kisber - 50km Split (HUN),50km,17,13239.0,,HUN,1964.0,M,M45,13.596,1494
2010,10.04.2010,100 km road race Kisber - 50km Split (HUN),50km,33,12067.0,AC Moravská Slavia Brno,CZE,1970.0,M,M40,14.917,89574
2012,14.04.2012,100 km road race Kisber - 50km Split (HUN),50km,14,13190.0,Unixsport,HUN,1964.0,M,M45,13.647,1494
2014,29.03.2014,100 km road race Kisber - 50km Split (HUN),50km,27,12384.0,,HUN,1968.0,M,M45,14.535,276122
1988,02.10.1988,100 km su pista di Torino - 50km split (ITA),50km,2,12937.0,,ITA,1936.0,M,M50,13914.0,1052744
2021,11.12.2021,100 ob Mrzli reki - 50km (SLO),50km,18,13392.0,,SLO,1995.0,M,M23,13.441,914882
2019,14.12.2019,100 ob Mrzli reki - 50km (SLO),50km,20,13737.0,*Notranje Gorice,SLO,1976.0,M,M40,13.103,100946
1988,08.10.1988,100-km-Lauf Hamm-Heessen - 50km Split (GER),50km,6,11226.0,LV Ettenheim,GER,1950.0,M,M35,16034.0,1047852
2022,11.-12.11.2022,100000000 MM -50km (BEL),50km,3,13490.0,RAM,BEL,1980.0,M,M40,13.343,21939
1997,08.02.1997,100km Caboolture Historical Village Dusk to Dawn - 50km Split (AUS),50km,1,17758.0,,AUS,1951.0,M,M45,10.136,345672
2015,08.03.2015,100km Internacionales Madrid - 50km Split (ESP),50km,27,12801.0,,ESP,1972.0,M,M40,14.061,443260
2011,20.03.2011,100km Internacionales Madrid - 50km Split (ESP),50km,27,12343.0,,ESP,1982.0,M,M23,14.583,123907
2013,20.10.2013,100km Internacionales Madrid - 50km Split (ESP),50km,22,13402.0,Cangas De Onis Atlet,ESP,1964.0,M,M45,13.431,228645
