Year of event,Event dates,Event name,Event distance/length,Event number of finishers,Athlete performance,Athlete club,Athlete country,Athlete year of birth,Athlete gender,Athlete age category,Athlete average speed,Athlete ID
1997,30.08.1997,Haliburton Forest 50 km Race (CAN),50km,25,13786.0,"*Waterloo, ON",CAN,1961.0,M,M35,13.057,183302
1996,31.08.1996,Haliburton Forest 50 km Race (CAN),50km,18,13785.0,,CAN,1966.0,M,M23,13.058,1045679
2015,06.06.2015,Hallands Ultra 50 Km (SWE),50km,128,14052.0,Hälle IF,SWE,1976.0,M,M35,12.81,449844
2018,09.06.2018,Hallands Ultra 50 Km (SWE),50km,136,13904.0,Hälle IF,SWE,1993.0,M,M23,12.946,168002
2017,10.06.2017,Hallands Ultra 50 Km (SWE),50km,169,12399.0,*Borås,SWE,1993.0,M,M23,14.517,168002
2016,11.06.2016,Hallands Ultra 50 Km (SWE),50km,168,14221.0,IS Göta / Löparglädje ...,JPN,1969.0,M,M45,12.657,213368
2020,07.08.2020,Hallands Ultra-Beach Trailrun (HUB II: Fjorden och Berget) (SWE),50km,5,23100.0,Lasportiva Sverige,SWE,1971.0,F,W45,7.792,52227
2019,26.10.2019,Halloween Howler 50km (AUS),50km,16,14597.0,,AUS,1968.0,M,M50,12.331,8805
2018,27.10.2018,Halloween Howler 50km (AUS),50km,10,13896.0,,AUS,1968.0,M,M50,12.953,8805
2017,28.10.2017,Halloween Howler 50km (AUS),50km,10,13931.0,,AUS,1994.0,M,M23,12.921,99736
2022,29.10.2022,Halloween Howler 50km (AUS),50km,9,20125.0,,AUS,1979.0,M,M40,8.944,124856
2019,06.07.2019,Ham & Lyme 50 Km Run (GBR),50km,201,16570.0,,GBR,1975.0,M,M40,10.863,102842
2018,07.07.2018,Ham & Lyme 50 Km Run (GBR),50km,174,14861.0,,GBR,1981.0,M,M35,12.112,241264
2017,08.07.2017,Ham & Lyme 50 Km Run (GBR),50km,200,16856.0,,GBR,1970.0,M,M45,10.679,53185
2016,09.07.2016,Ham & Lyme 50 Km Run (GBR),50km,108,15994.0,,GBR,,M,,11.254,490107
2018,06.01.2018,Hamburger-Kost-Nix-Ultra (GER),50km,12,19200.0,TV Attendorn,GER,1964.0,M,M50,9.375,21463
2015,16.08.2015,Hampshire 100 - 50K run (USA),50km,29,15976.0,"*Canaan, VT",USA,1965.0,M,M45,11.267,272418
2016,21.08.2016,Hampshire 100 - 50K run (USA),50km,35,16505.0,"*Canaan, VT",USA,1965.0,M,M50,10.906,272418
2018,08.12.2018,Han River traversal 50 km (KOR),50km,9,21000.0,,KOR,,M,,8.571,25035
2017,09.12.2017,Han River traversal 50 km (KOR),50km,20,17400.0,,KOR,1963.0,M,M50,10.345,474721
2016,11.12.2016,Han River traversal 50 km (KOR),50km,23,18120.0,,KOR,,M,,9.934,99623
2015,12.12.2015,Han River traversal 50 km (KOR),50km,20,19080.0,,KOR,,M,,9.434,419531
2019,14.12.2019,Han River traversal 50 km (KOR),50km,8,21360.0,,KOR,,M,,8.427,25035
2018,12.05.2018,Hangaway 50 (PHI),50km,8,33067.0,,PHI,1997.0,M,MU23,5.443,109965
2022,01.10.2022,Hanging Flume 50km Race (USA),50km,41,13930.0,"*Ophir, CO",USA,1992.0,M,M23,12.922,1021493
2021,23.10.2021,Hanging Flume 50km Race (USA),50km,61,13936.0,"*Mountain Village, CO",USA,1995.0,M,M23,12.916,632520
2017,09.-10.12.2017,Hangzhou ultramarathon 12H race - 50km Split (CHN),50km,43,14359.0,,CHN,1993.0,M,M23,12.536,34362
2017,09.-10.12.2017,Hangzhou ultramarathon 24H race - 50km Split (CHN),50km,70,12853.0,,CHN,1972.0,M,M45,14.005,144006
2017,09.12.2017,Hangzhou ultramarathon 6H race - 50km Split (CHN),50km,8,13042.0,,POL,1980.0,M,M35,13.802,206791
2022,05.02.2022,Happy Chinese New Year 50 km Race (USA),50km,4,19730.0,"*San Diego, CA",USA,1983.0,M,M35,9.123,102782
2021,06.02.2021,Happy Chinese New Year 50 km Race (USA),50km,19,18599.0,"*San Diego, CA",USA,1969.0,M,M50,9.678,867925
2019,20.-21.07.2019,Happy Leg Ultramarathon (KOR),50km,10,13200.0,마라톤114,KOR,,M,,13.636,746348
2018,21.-22.07.2018,Happy Leg Ultramarathon (KOR),50km,10,13740.0,,KOR,,M,,13.1,225876
2017,22.-23.07.2017,Happy Leg Ultramarathon (KOR),50km,6,12600.0,,KOR,1988.0,M,M23,14.286,32081
2016,23.-24.07.2016,Happy Leg Ultramarathon (KOR),50km,272,13620.0,달빛마라톤,KOR,1967.0,M,M45,13.216,483588
2015,25.07.2015,Happy Leg Ultramarathon (KOR),50km,10,13080.0,,KOR,,M,,13.761,225876
2014,26.-27.07.2014,Happy Leg Ultramarathon (KOR),50km,168,13140.0,,KOR,1967.0,M,M45,13.699,483588
2022,09.04.2022,Happymarathon Ultraløb (DEN),50km,4,17906.0,Happymarathon,DEN,1971.0,M,M50,10.052,772088
2015,03.01.2015,Harbison 50K (USA),50km,132,15557.0,"*Greenville, SC",USA,1986.0,M,M23,11.57,40725
2014,04.01.2014,Harbison 50K (USA),50km,144,14231.0,"*Pfafftown, NC",USA,1992.0,M,MU23,12.648,1029533
2020,04.01.2020,Harbison 50K (USA),50km,82,15224.0,*Greeneville,USA,1992.0,M,M23,11.823,231617
2013,05.01.2013,Harbison 50K (USA),50km,146,13679.0,"*Akron, OH",USA,1988.0,M,M23,13.159,223175
2019,05.01.2019,Harbison 50K (USA),50km,71,16611.0,"*Blythewood, SC",USA,1983.0,M,M35,10.836,660549
2018,06.01.2018,Harbison 50K (USA),50km,109,17194.0,"*Columbia, SC",USA,1983.0,M,M23,10.469,69419
2012,07.01.2012,Harbison 50K (USA),50km,154,15020.0,"*Charleston, SC",USA,1981.0,M,M23,11.984,341508
2017,07.01.2017,Harbison 50K (USA),50km,110,16177.0,"*Mauldin, SC",USA,1988.0,M,M23,11.127,23408
2011,08.01.2011,Harbison 50K (USA),50km,74,15074.0,"*Swannanoa, NC",USA,1968.0,M,M40,11.941,1153809
2022,08.01.2022,Harbison 50K (USA),50km,55,18466.0,"*Ravenel, SC",USA,1985.0,M,M35,9.748,111141
2016,09.01.2016,Harbison 50K (USA),50km,140,15410.0,"*Arden, NC",USA,1977.0,M,M35,11.681,390331
2021,09.01.2021,Harbison 50K (USA),50km,72,14684.0,"*Suwanee, GA",USA,2002.0,M,MU23,12.258,868353
2008,13.04.2008,Harbison Forest 50K (USA),50km,37,15454.0,*SC,USA,1970.0,M,M35,11.647,61346
2018,24.-25.11.2018,Hard Podocarpus Ultra Trail (ECU),50km,14,26594.0,,ECU,1993.0,M,M23,6.768,355972
2019,01.12.2019,Hard as Nayls 50k (HKG),50km,58,20132.0,,GBR,1986.0,M,M23,8.941,343614
2019,01.12.2019,Hard as Nayls 50k II (HKG),50km,16,25820.0,,CAN,1982.0,M,M35,6.971,798846
2021,15.05.2021,"Hard100, 50km (SUI)",50km,10,11966.0,Team Baladin,SUI,1981.0,M,M35,15.043,732562
2022,07.05.2022,Hard50 (SUI),50km,12,12854.0,Bossartsport WIL,SUI,1988.0,M,M23,14.003,214612
2012,07.07.2012,Harding Hustle 50K (USA),50km,54,16445.0,"*Albuquerque, NM",USA,1973.0,M,M35,10.946,118893
2011,09.07.2011,Harding Hustle 50K (USA),50km,43,14807.0,"*Vista, CA",USA,1972.0,M,M35,12.156,202038
2014,19.07.2014,Harding Hustle 50K (USA),50km,67,14515.0,"*Aliso Viejo, CA",USA,1984.0,M,M23,12.401,1347259
2017,22.07.2017,Harding Hustle 50K (USA),50km,47,16576.0,"*Bonita, CA",USA,1975.0,M,M40,10.859,388583
2015,25.07.2015,Harding Hustle 50K (USA),50km,64,14269.0,"*Glendora, CA",USA,1988.0,M,M23,12.615,387186
2019,27.07.2019,Harding Hustle 50K (USA),50km,59,16683.0,"*Pomoma, CA",USA,1988.0,M,M23,10.789,61856
2018,28.07.2018,Harding Hustle 50K (USA),50km,56,17842.0,"*Thousand Oaks, CA",USA,1988.0,M,M23,10.089,222286
2013,29.06.2013,Harding Hustle 50K (USA),50km,33,17839.0,"*Orange, CA",USA,1985.0,M,M23,10.09,1409762
2016,30.07.2016,Harding Hustle 50K (USA),50km,67,14055.0,,USA,1989.0,M,M23,12.807,482195
2022,30.07.2022,Harding Hustle 50K (USA),50km,59,17148.0,"*San Juan Capistrano, CA",USA,2002.0,M,MU23,10.497,1010095
2020,13.09.2020,Hardrock Ding Du Ge - Chongli Sep (CHN),50km,13,23586.0,,CHN,1982.0,M,M35,7.632,113516
1980,07.11.1980,Harlequin 100km Nite Race - 50km Split (RSA),50km,12,12871.0,Pretoria Marathon Klub,RSA,1947.0,M,M23,13985.0,1558197
1984,21.07.1984,Harmony Inn 50 Km Track Race (USA),50km,13,13413.0,*NJ,USA,1956.0,M,M23,13420.0,1570178
1999,02.01.1999,Harold Tucker 50K Beach Run (USA),50km,10,16725.0,,USA,1970.0,M,M23,10.762,1070546
2000,02.01.2000,Harold Tucker 50K Beach Run (USA),50km,8,15301.0,,IRL,1957.0,M,M40,11.764,1106502
2001,07.01.2001,Harold Tucker 50K Beach Run (USA),50km,3,18690.0,"*Melbourne, FL",USA,1955.0,M,M45,9.631,520859
1997,27.12.1997,Harold Tucker 50K Beach Run (USA),50km,7,16332.0,"*Orlando, FL",USA,1962.0,M,M23,11.021,383692
2001,29.12.2001,Harold Tucker 50K Beach Run (USA),50km,16,15232.0,*NC,USA,1980.0,M,MU23,11.817,1121840
1994,31.08.1994,Harriers 100 Km Int. Challenge - 50km Split (CAN),50km,40,11728.0,,POL,1962.0,M,M23,15348.0,1047593
2004,01.05.2004,"Harriers Elk/Beaver Ultras, 100km - 50km Split (CAN)",50km,2,14257.0,"*Vancouver, BC",CAN,1960.0,M,M40,12.625,845779
1998,02.05.1998,"Harriers Elk/Beaver Ultras, 100km - 50km Split (CAN)",50km,7,11755.0,"*Cincinnati, OH",CAN,1961.0,M,M35,15.313,651555
2009,02.05.2009,"Harriers Elk/Beaver Ultras, 100km - 50km Split (CAN)",50km,4,12862.0,"*North Vancouver, BC",CAN,1968.0,M,M40,13.995,323012
1997,03.05.1997,"Harriers Elk/Beaver Ultras, 100km - 50km Split (CAN)",50km,9,12160.0,"*Edmonton, AB",CAN,1952.0,M,M40,14.803,1065852
2003,03.05.2003,"Harriers Elk/Beaver Ultras, 100km - 50km Split (CAN)",50km,8,13825.0,"*Bedford, Nova Scotia",CAN,1955.0,M,M45,13.02,509861
2008,03.05.2008,"Harriers Elk/Beaver Ultras, 100km - 50km Split (CAN)",50km,7,12841.0,,CAN,1960.0,M,M45,14.018,1173421
2002,04.05.2002,"Harriers Elk/Beaver Ultras, 100km - 50km Split (CAN)",50km,15,12915.0,"*Haneytown, NB",CAN,1957.0,M,M40,13.937,1072312
2001,05.05.2001,"Harriers Elk/Beaver Ultras, 100km - 50km Split (CAN)",50km,7,12778.0,"*Haneytown, NB",CAN,1957.0,M,M40,14.087,1072312
2000,06.05.2000,"Harriers Elk/Beaver Ultras, 100km - 50km Split (CAN)",50km,23,11896.0,*Moscow,RUS,1964.0,M,M35,15.131,1053631
2012,12.05.2012,"Harriers Elk/Beaver Ultras, 100km - 50km Split (CAN)",50km,4,15290.0,"*Edmonton, AB",CAN,1972.0,M,M35,11.772,188444
1999,01.05.1999,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,14,11601.0,"*Sidney, BC",CAN,1956.0,M,M40,15.516,1103388
2004,01.05.2004,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,30,12126.0,"*North Vancouver, BC",CAN,1975.0,M,M23,14.844,940660
2010,01.05.2010,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,18,13059.0,"*Victoria, BC",CAN,1960.0,M,M50,13.784,1173421
1998,02.05.1998,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,13,11942.0,"*Victoria, BC",CAN,1953.0,M,M40,15.073,1079840
2009,02.05.2009,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,19,13083.0,"*Victoria, BC",CAN,1968.0,M,M40,13.758,102864
1997,03.05.1997,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,15,12512.0,"*Victoria, BC",CAN,1953.0,M,M40,14.386,1079840
2003,03.05.2003,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,19,11958.0,"*North Vancouver, BC",CAN,1975.0,M,M23,15.053,940660
2008,03.05.2008,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,25,13607.0,"*Victoria, BC",CAN,1970.0,M,M35,13.228,168457
1996,04.05.1996,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,14,13287.0,*AB,CAN,1946.0,M,M45,13.547,1065835
2002,04.05.2002,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,18,12318.0,"*North Vancouver, BC",CAN,1956.0,M,M45,14.613,1138741
1995,05.05.1995,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,19,12977.0,,CAN,1967.0,M,M23,13871.0,1640487
2001,05.05.2001,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,16,14396.0,"*Saltspring Island, BC",CAN,1946.0,M,M50,12.503,242427
2007,05.05.2007,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,31,11744.0,"*Victoria, BC",CAN,1975.0,M,M23,15.327,1167745
2000,06.05.2000,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,17,12370.0,"*North Vancouver, BC",CAN,1947.0,M,M50,14.551,576183
2006,06.05.2006,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,15,12807.0,"*Campbell River, BC",CAN,1969.0,M,M35,14.055,1188947
2005,07.05.2005,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,17,12458.0,"*Courtenay, BC",CAN,1959.0,M,M45,14.449,236814
2011,07.05.2011,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,30,13897.0,"*Victoria, BC",CAN,1960.0,M,M50,12.952,1173421
2015,09.05.2015,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,33,13998.0,"*North Vancouver, BC",CAN,1988.0,F,W23,12.859,12121
2014,10.05.2014,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,34,13301.0,"*Victoria, BC",CAN,1970.0,M,M40,13.533,102818
2013,11.05.2013,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,23,14141.0,"*Victoria, BC",CAN,1974.0,F,W35,12.729,1395453
2019,11.05.2019,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,11,14091.0,"*Victoria, BC",CAN,1979.0,F,W40,12.774,276125
2012,12.05.2012,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,37,12359.0,"*Victoria, BC",CAN,1977.0,M,M23,14.564,1346205
2018,12.05.2018,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,21,15992.0,"*Victoria, BC",CAN,1978.0,F,W35,11.256,208719
2017,13.05.2017,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,16,12499.0,"*Victoria, BC",CAN,1981.0,M,M35,14.401,12104
2016,14.05.2016,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,33,13746.0,"*Victoria, BC",CAN,1985.0,M,M23,13.095,280886
2022,14.05.2022,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,22,13799.0,"*Delta, BC",CAN,1972.0,M,M45,13.044,977205
2021,21.08.2021,"Harriers Elk/Beaver Ultras, 50km (CAN)",50km,16,11593.0,"*Saanichton, BC",CAN,1983.0,M,M35,15.527,249728
2020,15.08.2020,Harriman 50k Trail Run (USA),50km,24,12163.0,"*Salt Lake City, UT",USA,1980.0,M,M35,14.799,840929
2019,17.08.2019,Harriman 50k Trail Run (USA),50km,30,15336.0,"*Helena, MT",USA,1963.0,M,M55,11.737,166286
2021,21.08.2021,Harriman 50k Trail Run (USA),50km,21,16107.0,"*Bozeman, MT",USA,1973.0,M,M45,11.175,355071
2022,27.08.2022,Harriman 50k Trail Run (USA),50km,32,13195.0,"*Salt Lake City, UT",USA,1992.0,M,M23,13.642,175864
2017,19.08.2017,Harriman Peak 50k (USA),50km,20,14615.0,"*Salt Lake City, UT",USA,1987.0,M,M23,12.316,356423
2018,18.08.2018,Harriman Peak 50k (Venti) (USA),50km,30,14899.0,"*Helena, MT",USA,1963.0,M,M50,12.081,166286
2008,23.02.2008,Hashawha Hills 50 km Trail Run (USA),50km,30,17316.0,,USA,1958.0,M,M45,10.395,522195
2013,23.02.2013,Hashawha Hills 50 km Trail Run (USA),50km,93,12704.0,"*Philadelphia, PA",USA,1979.0,M,M23,14.169,78958
2019,23.02.2019,Hashawha Hills 50 km Trail Run (USA),50km,98,15808.0,"*Washington, DC",USA,1977.0,M,M40,11.387,149913
2018,24.02.2018,Hashawha Hills 50 km Trail Run (USA),50km,101,15561.0,"*Washington, DC",USA,1980.0,M,M35,11.567,13433
2012,25.02.2012,Hashawha Hills 50 km Trail Run (USA),50km,91,15254.0,"*Lincoln University, PA",USA,1972.0,M,M35,11.8,1212779
2017,25.02.2017,Hashawha Hills 50 km Trail Run (USA),50km,99,14179.0,"*Mount Rainier, MD",USA,1990.0,M,M23,12.695,566594
2011,26.02.2011,Hashawha Hills 50 km Trail Run (USA),50km,75,14970.0,"*Arlington, VA",USA,1972.0,M,M35,12.024,13446
2022,26.02.2022,Hashawha Hills 50 km Trail Run (USA),50km,90,14349.0,"*Catonsville, MD",USA,1984.0,M,M35,12.544,333402
2016,27.02.2016,Hashawha Hills 50 km Trail Run (USA),50km,97,14841.0,"*Lancaster, PA",USA,1981.0,M,M23,12.129,204872
2009,28.02.2009,Hashawha Hills 50 km Trail Run (USA),50km,32,15720.0,,USA,1974.0,M,M23,11.45,1212778
2015,28.02.2015,Hashawha Hills 50 km Trail Run (USA),50km,53,19462.0,"*Montclair, VA",USA,1973.0,M,M40,9.249,166158
2020,29.02.2020,Hashawha Hills 50 km Trail Run (USA),50km,105,13641.0,"*Lutherville, MD",ITA,1982.0,M,M35,13.196,50990
2005,23.10.2005,Hastings 50km Walking (NZL),50km,1,14759.0,Racewalker,NZL,1975.0,M,M23,12.196,1179701
2015,21.03.2015,Haulin' in the Holler 50k Trail race (USA),50km,31,16690.0,,USA,1990.0,M,M23,10.785,1019801
2014,22.03.2014,Haulin' in the Holler 50k Trail race (USA),50km,30,15027.0,,USA,1978.0,M,M35,11.978,1030463
2013,23.03.2013,Haulin' in the Holler 50k Trail race (USA),50km,18,17635.0,"*Bridgeport, WV",USA,1968.0,M,M40,10.207,138
2019,23.03.2019,Haulin' in the Holler 50k Trail race (USA),50km,36,16994.0,,USA,1978.0,M,M40,10.592,134
2018,24.03.2018,Haulin' in the Holler 50k Trail race (USA),50km,32,16452.0,"*Huntington, WV",USA,1988.0,M,M23,10.941,143953
2017,25.03.2017,Haulin' in the Holler 50k Trail race (USA),50km,24,16994.0,"*Elkins, WV",USA,1980.0,M,M35,10.592,74433
2016,26.03.2016,Haulin' in the Holler 50k Trail race (USA),50km,35,16764.0,,USA,1976.0,M,M35,10.737,105217
2019,04.10.2019,Haunted Pines Ultra (AUS),50km,12,15560.0,,AUS,1977.0,M,M40,11.568,304316
2018,06.10.2018,Haunted Pines Ultra (AUS),50km,16,17301.0,,AUS,1975.0,M,M40,10.404,145554
2018,21.10.2018,Hauppauge Race Walk (USA),50km,2,14947.0,,RSA,1983.0,M,M35,12.043,307167
2003,25.05.2003,Hauppauge Race Walk (USA),50km,1,14916.0,,USA,1967.0,M,M35,12.068,861399
2019,20.10.2019,Hauppauge Race Walk - USATF National Championship Open (USA),50km,8,15967.0,,CAN,1973.0,M,M45,11.273,775430
1981,24.05.1981,Hawaii Festival of Running - 50 Km Run (USA),50km,74,12493.0,,USA,,M,,14408.0,1567960
1984,26.05.1984,Hawaii Festival of Running - 50 Km Run (USA),50km,51,13464.0,,USA,1953.0,M,M23,13369.0,92709
1983,28.05.1983,Hawaii Festival of Running - 50 Km Run (USA),50km,58,14018.0,,USA,,M,,12841.0,1573082
1982,30.05.1982,Hawaii Festival of Running - 50 Km Run (USA),50km,66,12065.0,,USA,1944.0,M,M35,14919.0,1072488
2013,02.03.2013,Hawkeye 50K Trail Run (USA),50km,48,13690.0,"*Iowa City, IA",USA,1977.0,M,M35,13.148,19782
2014,05.04.2014,Hawkeye 50K Trail Run (USA),50km,53,13855.0,"*Iowa City, IA",USA,1977.0,M,M35,12.992,19782
2017,08.04.2017,Hawkeye 50K Trail Run (USA),50km,83,12067.0,"*Cedar Falls, IA",USA,1974.0,M,M40,14.917,510805
2016,09.04.2016,Hawkeye 50K Trail Run (USA),50km,77,13560.0,"*Iowa City, IA",USA,1971.0,M,M40,13.274,420297
2022,09.04.2022,Hawkeye 50K Trail Run (USA),50km,27,14556.0,"*Burlington, IA",USA,1988.0,M,M23,12.366,960437
2015,11.04.2015,Hawkeye 50K Trail Run (USA),50km,74,12073.0,,USA,1974.0,M,M40,14.909,510805
2010,11.12.2010,Hawkeye 50K Trail Run (USA),50km,33,12861.0,"*Cedar Falls, IA",USA,1974.0,M,M35,13.996,510805
2019,13.04.2019,Hawkeye 50K Trail Run (USA),50km,66,13616.0,,USA,1992.0,M,M23,13.22,67711
2018,14.04.2018,Hawkeye 50K Trail Run (USA),50km,59,14230.0,*IA,USA,1980.0,M,M35,12.649,39340
2012,17.03.2012,Hawkeye 50K Trail Run (USA),50km,37,13544.0,"*Iowa City, IA",USA,1977.0,M,M23,13.29,19782
2019,26.10.2019,Hawkeye Fallout Race (USA),50km,30,13391.0,*IA,USA,1995.0,M,M23,13.442,67608
2018,27.10.2018,Hawkeye Fallout Race (USA),50km,32,15760.0,"*Solon, IA",USA,1979.0,M,M35,11.421,211102
2021,30.10.2021,Hawkeye Fallout Race (USA),50km,37,13500.0,*IA,USA,1980.0,M,M40,13.333,39340
2016,01.10.2016,Headwaters Trail Run 50K (USA),50km,37,17735.0,"*Redding, CA",USA,1980.0,M,M35,10.149,81632
2022,18.06.2022,Headwaters Trail Run 50K (USA),50km,39,20659.0,"*Orland, CA",USA,2000.0,M,MU23,8.713,822446
2015,22.08.2015,Headwaters Trail Run 50K (USA),50km,32,17410.0,"*Klamath Falls, OR",IND,1975.0,M,M35,10.339,19334
2014,23.08.2014,Headwaters Trail Run 50K (USA),50km,55,15837.0,"*Klamath Falls, OR",USA,1978.0,M,M35,11.366,350111
2013,24.08.2013,Headwaters Trail Run 50K (USA),50km,48,13958.0,"*Ashland, OR",USA,1988.0,M,M23,12.896,33248
2019,28.09.2019,Headwaters Trail Run 50K (USA),50km,33,15875.0,"*Talent, OR",USA,1981.0,M,M35,11.339,753784
2018,29.09.2018,Headwaters Trail Run 50K (USA),50km,38,16232.0,"*Ashland, OR",USA,1984.0,M,M23,11.089,76049
2017,30.09.2017,Headwaters Trail Run 50K (USA),50km,36,17060.0,"*Ashland, OR",USA,1984.0,M,M23,10.551,76049
2022,20.08.2022,Heartbreak 50km (CAN),50km,9,22156.0,"*Kamloops, BC",CAN,1972.0,M,M45,8.124,188444
2021,01.05.2021,Heartland 50 Km Race (USA),50km,31,19300.0,"*Tulsa, OK",USA,1975.0,F,W45,9.326,857190
2018,05.05.2018,Heartland 50 Km Race (USA),50km,16,19954.0,"*Olathe, KS",USA,1969.0,M,M45,9.021,39414
2019,27.04.2019,Heartland 50 Km Race (USA),50km,34,14334.0,"*Osawatomie, KS",USA,1987.0,M,M23,12.558,366170
2017,29.04.2017,Heartland 50 Km Race (USA),50km,15,15008.0,"*Kansas City, MO",USA,1985.0,M,M23,11.994,39342
2016,30.04.2016,Heartland 50 Km Race (USA),50km,9,17098.0,"*Dighton, KS",USA,1988.0,M,M23,10.528,53892
2022,30.04.2022,Heartland 50 Km Race (USA),50km,15,19362.0,"*Augusta, KS",USA,1989.0,M,M23,9.297,199431
2014,19.04.2014,Heidschnucken-Ultra - 50km (GER),50km,5,16803.0,*Hamburg,GER,1982.0,M,M30,10.712,1290521
2013,27.-28.04.2013,Heidschnucken-Ultra - 50km (GER),50km,11,20437.0,FC St.Pauli,GER,1986.0,M,M20,8.808,431963
2022,03.09.2022,Heights Ultra Trail 50km (GBR),50km,87,14614.0,,GBR,1990.0,M,M23,12.317,369326
2016,15.10.2016,Hejaz Ultra 50 (KSA),50km,10,23700.0,33° Rima,FRA,1974.0,M,M40,7.595,84859
2008,01.11.2008,Helen Klein Ultra Classic 50km (USA),50km,39,13318.0,"*Lincoln, CA",USA,1968.0,M,M35,13.516,62717
2007,03.11.2007,Helen Klein Ultra Classic 50km (USA),50km,71,13183.0,"*Lincoln, CA",USA,1968.0,M,M35,13.654,62717
2006,04.11.2006,Helen Klein Ultra Classic 50km (USA),50km,68,12385.0,"*Boise, ID",USA,1959.0,M,M45,14.534,103029
2005,05.11.2005,Helen Klein Ultra Classic 50km (USA),50km,41,13710.0,,USA,1966.0,M,M35,13.129,1179063
2004,06.11.2004,Helen Klein Ultra Classic 50km (USA),50km,36,14277.0,"*Martinez, CA",USA,1972.0,F,W23,12.608,204411
2010,06.11.2010,Helen Klein Ultra Classic 50km (USA),50km,33,14084.0,,USA,1968.0,M,M40,12.78,1298913
2003,08.11.2003,Helen Klein Ultra Classic 50km (USA),50km,32,12304.0,*CA,USA,1965.0,M,M35,14.629,46364
2002,09.11.2002,Helen Klein Ultra Classic 50km (USA),50km,33,13942.0,*NV,USA,1972.0,F,W23,12.911,25621
2001,10.11.2001,Helen Klein Ultra Classic 50km (USA),50km,37,10895.0,,USA,1970.0,M,M23,16.521,1122900
2000,11.11.2000,Helen Klein Ultra Classic 50km (USA),50km,28,12692.0,*NV,USA,1944.0,M,M55,14.182,449990
1999,13.11.1999,Helen Klein Ultra Classic 50km (USA),50km,28,13676.0,*CO,USA,1951.0,M,M45,13.162,1050710
1998,14.11.1998,Helen Klein Ultra Classic 50km (USA),50km,28,13531.0,,USA,1949.0,M,M45,13.303,1083432
2009,31.10.2009,Helen Klein Ultra Classic 50km (USA),50km,52,13154.0,"*Lincoln, CA",USA,1968.0,M,M40,13.684,62717
2003,07.06.2003,Helgasjön Runt 50 km walking (SWE),50km,5,16610.0,racewalker/Mälarhöjden...,SWE,1968.0,M,M23,10.837,249678
2021,03.07.2021,Hell Hath No Hurry 50 Km (USA),50km,31,21083.0,"*Butler, PA",USA,1992.0,M,M23,8.538,897311
2022,23.07.2022,Hell Hath No Hurry 50 Km (USA),50km,13,25199.0,"*Pittsburgh, PA",USA,1986.0,M,M35,7.143,168158
2017,24.06.2017,Hell Hath No Hurry 50 Km (USA),50km,33,19610.0,"*Concord, CA",USA,1985.0,M,M23,9.179,86617
2016,25.06.2016,Hell Hath No Hurry 50 Km (USA),50km,28,21419.0,,USA,1985.0,M,M23,8.404,86617
2015,27.06.2015,Hell Hath No Hurry 50 Km (USA),50km,24,21519.0,,USA,1988.0,M,M23,8.365,323160
2014,28.06.2014,Hell Hath No Hurry 50 Km (USA),50km,14,20380.0,"*Pittsburgh, PA",USA,1988.0,M,M23,8.832,323160
2019,29.06.2019,Hell Hath No Hurry 50 Km (USA),50km,23,23549.0,"*Murrysville, PA",USA,1987.0,M,M23,7.644,86566
2018,30.06.2018,Hell Hath No Hurry 50 Km (USA),50km,36,23113.0,,USA,1982.0,M,M35,7.788,168152
2019,01.06.2019,Hell Hole Hundred 50 Km Day Run (USA),50km,14,21532.0,"*Surfside, SC",USA,1974.0,M,M40,8.36,655622
2022,04.06.2022,Hell Hole Hundred 50 Km Day Run (USA),50km,18,17571.0,"*Walterboro, SC",USA,1986.0,M,M35,10.244,69437
2021,05.06.2021,Hell Hole Hundred 50 Km Day Run (USA),50km,22,18508.0,*SC,USA,1992.0,F,W23,9.726,851458
